a_word,b_alphabet,c_meaning
joy,英:/dʒɔi/ 美:/dʒɔɪ/,"1. n. 欢乐，快乐；乐趣；高兴
2. vi. 欣喜，欢喜"
judge,英:/dʒʌdʒ/ 美:/dʒʌdʒ/,"1. vt. 判断；审判
2. n. 法官；裁判员"
juice,英:/dʒuːs/ 美:/dʒus/,n. 果汁；（水果）汁，液
July,/dʒʊˈlaɪ/,n. 七月
jump,英:/dʒʌmp/ 美:/dʒʌmp/,"1. n. 跳跃；暴涨；惊跳
2. vt. 突升；使跳跃；跳跃；跳过"
June,英:/dʒu:n/ 美:/dʒun/,n. 六月；琼（女名）
just,英:/dʒʌst/ 美:/dʒʌst/,"1. adv. 正好，恰好；只是，仅仅；刚才，刚刚；实在；刚要
2. adj. 公正的，合理的；应得的；正直的，正义的；公平的；正确的"
keen,英:/kiːn/ 美:/kin/,"1. adj. 敏锐的，敏捷的；热心的；锐利的；渴望的；强烈的
2. n. 痛哭，挽歌"
keep,英:/kiːp/ 美:/kip/,"1. vt. 保持；遵守；经营；饲养
2. vi. 继续不断；保持"
key,英:/kiː/ 美:/ki/,"1. n. 钥匙；关键；（打字机等的）键
2. vt. 键入；调节…的音调；锁上；提供线索"
kick,英:/kɪk/ 美:/kɪk/,"1. vt. 踢；反冲，朝后座
2. n. 踢；反冲，后座力"
kid,英:/kɪd/ 美:/kɪd/,"1. n. 小孩；小山羊
2. vt. 欺骗；取笑；戏弄"
kill,英:/kɪl/ 美:/kɪl/,"1. vt. 杀死；扼杀；使终止；抵消
2. vi. 杀死"
kind,英:/kaɪnd/ 美:/kaɪnd/,"1. n. 种类；性质
2. adj. 和蔼的；宽容的；令人感激的"
king,英:/kɪŋ/ 美:/kɪŋ/,"1. n. 国王；最有势力者；王棋
2. vi. 统治；做国王"
kiss,英:/kɪs/ 美:/kɪs/,"1. vt. 吻；（风等）轻拂
2. vi. 接吻；（风等）轻触"
kite,英:/kaɪt/ 美:/kaɪt/,"1. n. 风筝
2. vi. 使用空头支票；象风筝一样飞；轻快地移动"
knee,英:/niː/ 美:/ni/,"1. n. 膝盖，膝
2. vt. 用膝盖碰"
kneel,英:/niːl/ 美:/nil/,vi. 跪下，跪
knife,英:/naɪf/ 美:/naɪf/,"1. n. 刀；匕首
2. vt. 用刀切；（口）伤害"
knit,英:/nɪt/ 美:/nɪt/,"1. vi. 编织；结合；皱眉
2. vt. 编织；结合"
knob,英:/nɒb/ 美:/nɑb/,"1. n. 把手；瘤；球形突出物
2. vi. 鼓起"
knock,英:/nɒk/ 美:/nɑk/,"1. vi. 敲；敲击；打
2. vt. 敲；敲击；打；批评"
knot,英:/nɒt/ 美:/nɑt/,"1. n. （绳等的）结；海里/小时（航速单位）；节瘤，疙瘩
2. vt. 打结"
know,英:/nəʊ/ 美:/no/,"1. vt. 知道；认识；懂得
2. vi. 了解；熟悉；确信"
lab,英:/læb/ 美:/læb/,n. [口]实验室，研究室
lace,英:/leɪs/ 美:/les/,"1. n. 花边；鞋带；饰带；少量烈酒
2. vt. 饰以花边；结带子"
lack,英:/læk/ 美:/læk/,"1. vt. 缺乏；没有；需要；不足
2. vi. 缺乏；不足；没有"
lag,英:/læg/ 美:/læɡ/,"1. n. 迟延；防护套；囚犯；桶板；落后
2. vt. 押往监狱；落后于；加上外套"
lake,英:/leɪk/ 美:/lek/,湖
lamb,英:/læm/ 美:/læm/,"1. n. 羔羊，小羊；羔羊肉
2. vt. 生小羊，产羔羊"
lame,英:/leɪm/ 美:/lem/,"1. adj. 僵痛的；跛足的；不完全的；无说服力的
2. vi. 变跛"
lamp,英:/læmp/ 美:/læmp/,"1. n. 灯；照射器
2. vt. 照亮"
land,英:/lænd/ 美:/lænd/,"1. n. 陆地；地面；国土
2. vt. 使…登陆；使…陷于；将…卸下"
lane,英:/leɪn/ 美:/len/,n. 小巷；航线；车道；[篮球]罚球区
lap,英:/læp/ 美:/læp/,"1. n. 一圈；膝盖；下摆；山坳
2. vt. 拍打；包围；使重叠"
large,英:/lɑːdʒ/ 美:/lɑrdʒ/,"1. adj. 大的；广博的；多数的
2. adv. 夸大地；大大地"
last,英:/lɑːst/ 美:/læst/,"1. n. 末尾，最后；上个；鞋楦（做鞋的模型）
2. adj. 最后的；最近的，最新的；最不可能…的；仅剩的"
late,英:/leɪt/ 美:/let/,"1. adj. 迟的；晚的；已故的；最近的
2. adv. 晚；迟；在晚期；最近"
laugh,英:/lɑːf/ 美:/læf/,"1. n. 笑；引人发笑的事或人
2. vi. 笑"
launch,英:/lɔːn(t)ʃ/ 美:/lɔntʃ/,"1. vt. 发射（导弹、火箭等）；发起，发动；使…下水
2. vi. 下水；开始；起飞"
law,英:/lɔː/ 美:/lɔ/,"1. n. 法律；法学；诉讼；法治；司法界；规律
2. vi. 起诉；控告"
lawn,英:/lɔːn/ 美:/lɔn/,n. 草坪；草地
lay,英:/leɪ/ 美:/le/,"1. vt. 搁放；躺下；产卵
2. adj. 外行的；世俗的"
lead,英:/liːd/ 美:/lid/,"1. n. 铅；领导；导线；榜样；石墨
2. vt. 领导；引导；指挥；致使"
leaf,英:/liːf/ 美:/lif/,"1. n. 叶子；（书籍等的）一张；扇页
2. vi. 生叶；翻书页"
league,英:/liːg/ 美:/lig/,"1. n. 联盟；社团；范畴
2. vt. 使…结盟；与…联合"
leak,英:/liːk/ 美:/lik/,"1. n. 漏洞，裂缝；泄漏
2. vt. 使渗漏，泄露"
lean,英:/liːn/ 美:/lin/,"1. vi. 倾斜；倚靠；倾向；依赖
2. adj. 瘦的；贫乏的，歉收的"
leap,英:/liːp/ 美:/lip/,"1. vi. 跳，跳跃
2. n. 跳跃；飞跃"
learn,英:/lɜːn/ 美:/lɝn/,"1. vt. 学习；认识到；得知
2. vi. 学习；获悉"
leave,英:/liːv/ 美:/liv/,"1. vt. 离开；留下；委托；遗忘
2. vi. 离开，出发；留下"
left,英:/left/ 美:/lɛft/,"1. n. 左边；左派
2. adj. 左边的；左派的"
leg,英:/leg/ 美:/lɛɡ/,n. 腿；支柱
lend,英:/lend/ 美:/lɛnd/,"1. vt. 贷；增添，提供；把……借给
2. vi. 贷款"
length,英:/leŋθ/ 美:/lɛŋθ/,n. 长度，长；时间的长短；（语）音长
lens,英:/lenz/ 美:/lɛnz/,"1. n. 透镜；镜头；晶状体
2. vt. 给……摄影"
less,英:/les/ 美:/lɛs/,"1. adv. 较少地；较小地；更小地
2. adj. 较小的；较少的"
lest,英:/lest/ 美:/lɛst/,conj. 唯恐，以免；担心
let,英:/let/ 美:/lɛt/,"1. vt. 允许，让；出租；假设；妨碍
2. vi. 出租；被承包"
lick,英:/lɪk/ 美:/lɪk/,"1. vt. 舔；卷过；鞭打
2. vi. 舔；轻轻拍打"
lid,英:/lɪd/ 美:/lɪd/,"1. n. 盖子；眼睑；限制
2. vt. 给…盖盖子"
lie,英:/laɪ/ 美:/li/,谎言
life,英:/laɪf/ 美:/laɪf/,n. 寿命；生活，生存
lift,英:/lɪft/ 美:/lɪft/,"1. vt. 举起；提升；空运；鼓舞；[口]抄袭
2. vi. 消散；升起；耸立"
light,英:/laɪt/ 美:/laɪt/,"1. n. 光，光亮；灯
2. adj. 轻的；容易的；光亮的"
like,英:/laɪk/ 美:/laɪk/,"相似的,同样的"
limb,英:/lɪm/ 美:/lɪm/,"1. n. 肢，臂；枝干；分支
2. vt. 切断…的手足；从…上截下树枝"
lime,英:/laɪm/ 美:/laɪm/,"1. n. 石灰；酸橙；绿黄色
2. vt. 撒石灰于；涂粘鸟胶于"
line,英:/laɪn/ 美:/laɪn/,"1. n. 绳；排；路线，航线
2. vt. 划线于；排成一行；以线条标示；使…起皱纹"
link,英:/lɪŋk/ 美:/lɪŋk/,"1. n. 联系，关系；链环，环节
2. vt. 连接，连结；联合，结合"
lip,英:/lɪp/ 美:/lɪp/,"1. n. 嘴唇；边缘
2. vt. 以嘴唇碰"
list,英:/list/ 美:/lɪst/,"1. n. 列表；目录；清单
2. vi. 列于表上"
little,英:/ˈlitl/ 美:/ˈlɪtl/,"1. adj. 小的；短暂的；很少的；小巧可爱的
2. adv. 完全不"
live,英:/lɪv/ 美:/lɪv/,"1. adj. 活的；实况转播的；精力充沛的；生动的
2. vt. 经历；度过"
load,英:/ləʊd/ 美:/lod/,"1. n. 负载，负荷；装载量；工作量
2. vi. 装货；装载；加载"
loaf,英:/ləʊf/ 美:/lof/,"1. n. 块；条，一条面包；游荡
2. vt. 虚度光阴；游手好闲；游荡"
loan,英:/ləʊn/ 美:/lon/,"1. n. 贷款；借款
2. vi. 借出"
lock,英:/lɒk/ 美:/lɑk/,"1. vt. 锁，锁上；隐藏
2. vi. 锁；锁住；卡住"
lodge,英:/lɔdʒ/ 美:/lɑdʒ/,"1. n. 门房；旅馆；集会处；山林小屋
2. vt. 寄存；借住；提出；嵌入"
log,英:/lɒg/ 美:/lɔɡ/,"1. vi. 伐木
2. vt. 伐木；航行；切"
long,英:/lɒŋ/ 美:/lɔŋ/,"1. n. 长时间；长音节
2. adj. 长的；做多头的；过长的"
look,英:/lʊk/ 美:/lʊk/,"1. vt. 看；期待；注意；面向；看上去像
2. vi. 看；注意；面向；看起来"
loop,英:/luːp/ 美:/lup/,"1. vi. 打环；翻筋斗
2. n. 环；圈；弯曲部分；翻筋斗"
loose,英:/luːs/ 美:/lus/,"1. adj. 不牢固的；不精确的；宽松的；散漫的
2. vt. 释放；开船；放枪"
lord,英:/lɔːd/ 美:/lɔrd/,"1. n. 上帝；主
2. int. 主，天啊"
lose,英:/luːz/ 美:/luz/,"1. vt. 使沉溺于；浪费；遗失；使迷路；错过
2. vi. 失败；受损失"
loss,英:/lɒs/ 美:/lɔs/,n. 遗失；亏损；失败；减少
lot,英:/lɒt/ 美:/lɑt/,"1. n. 抽签；命运；一堆；一块地；份额
2. vt. 划分"
loud,英:/laʊd/ 美:/laʊd/,"1. adj. 大声的，高声的；不断的；喧吵的
2. adv. 大声地，高声地，响亮地"
love,英:/lʌv/ 美:/lʌv/,"1. n. 恋爱；酷爱；亲爱的；喜爱的事物
2. vt. 热爱；喜欢；爱慕"
lover,英:/ˈlʌvə/ 美:/ˈlʌvɚ/,n. 爱人，恋人；爱好者
low,英:/ləʊ/ 美:/lo/,"1. adj. 低的，浅的；粗俗的；卑贱的；消沉的
2. adv. 谦卑地，低下地；低声地"
luck,英:/lʌk/ 美:/lʌk/,"1. n. 运气；幸运；带来好运的东西
2. vi. 靠运气，走运；凑巧碰上"
lump,英:/lʌmp/ 美:/lʌmp/,"1. n. 块，块状；肿块；瘤；很多；笨人
2. vt. 使成块状；混在一起；忍耐；笨重地移动"
lunch,英:/lʌn(t)ʃ/ 美:/lʌntʃ/,n. 午餐
lung,英:/lʌŋ/ 美:/lʌŋ/,n. 肺；呼吸器
mad,英:/mæd/ 美:/mæd/,"1. adj. 疯狂的；愚蠢的；着迷的；发疯的
2. n. 狂怒"
maid,英:/meɪd/ 美:/med/,"1. n. 女仆；少女
2. vt. 侍候；做新娘的女傧相"
mail,英:/meɪl/ 美:/mel/,"1. n. 邮政，邮递；邮件；盔甲
2. vt. 邮寄；给…穿盔甲"
main,英:/meɪn/ 美:/men/,"1. n. 主要部分，要点；体力；总管道
2. adj. 主要的，最重要的；全力的"
make,英:/meɪk/ 美:/mek/,"做, 制造, 使"
male,英:/meɪl/ 美:/mel/,"1. adj. 雄性的；男性的；有力的
2. n. 男人；雄性动物"
map,英:/mæp/ 美:/mæp/,"1. vt. 绘制地图；映射；计划；[生物]确定基因在染色体中的位置
2. n. 地图；示意图；染色体图"
march,英:/mɑːtʃ/ 美:/mɑrtʃ/,"1. n. 进行曲；行军，进军；示威游行
2. vi. 进军；走过"
mark,英:/mɑːk/ 美:/mɑrk/,"1. n. 马克；符号；痕迹；标志
2. vi. 作记号"
Marxist,英:/ˈmɑ:ksist/ 美:/ˈmɑrksɪst/,"1. n. 马克思主义者
2. adj. 马克思主义的"
mask,英:/mɑːsk/ 美:/mæsk/,"1. n. 掩饰；面具；口罩
2. vi. 掩饰；戴面具；化装"
mass,英:/mæs/ 美:/mæs/,"1. n. 大量，众多；群众，民众；块，团
2. adj. 大规模的，集中的；群众的，民众的"
mat,英:/mæt/ 美:/mæt/,"1. n. 垫；垫子；衬边
2. vt. 缠结；铺席于……上"
match,英:/mætʃ/ 美:/mætʃ/,"1. vt. 使相配；与…竞争；相配；使比赛；敌得过，比得上
2. vi. 相配，相称；比赛；匹配；相比"
mate,英:/meɪt/ 美:/met/,"1. n. 同事；助手，大副；配偶；配对物
2. vt. 使配对；结伴；使一致"
maths,英:/mæθs/ 美:/mæθs/,n. 数学（等于mathematics）
may,英:/meɪ/ 美:/me/,aux. 可能，可以；愿意
midst,英:/mɪdst/ 美:/mɪdst/,"1. n. 当中，中间
2. prep. 在…中间（等于amidst）"
might,英:/maɪt/ 美:/maɪt/,"1. n. 力量；势力；威力
2. v. 可以；应该；或许（may的过去式）"
mild,英:/maɪld/ 美:/maɪld/,"1. adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
2. n. （英国的一种）淡味麦芽啤酒"
mile,英:/maɪl/ 美:/maɪl/,n. 英里；一英里赛跑；较大的距离
milk,英:/mɪlk/ 美:/mɪlk/,"1. n. 牛奶；乳状物
2. vt. 榨取；挤…的奶"
mill,英:/mɪl/ 美:/mɪl/,"1. vi. 乱转；被碾磨
2. n. 磨坊；制造厂；工厂；压榨机；磨粉机"
mind,英:/maɪnd/ 美:/maɪnd/,"1. n. 智力；理智，精神；意见；记忆力
2. vt. 介意；专心于；照料"
mine,英:/maɪn/ 美:/maɪn/,"1. n. 矿山，矿井；矿，矿藏；地雷，水雷
2. vt. 开采，采掘；在…布雷"
miss,英:/mɪs/ 美:/mɪs/,vt. 漏掉，错过，想念
mist,英:/mɪst/ 美:/mɪst/,"1. n. 薄雾；视线模糊不清；模糊不清之物
2. vi. 下雾；变模糊"
mix,英:/mɪks/ 美:/mɪks/,"1. vt. 使混和；配制；混淆；使结交
2. vi. 相混合；交往；参与"
moan,英:/məʊn/ 美:/mon/,"1. vi. 呻吟；抱怨，悲叹
2. n. 悲叹；呻吟声"
mode,英:/məʊd/ 美:/mod/,n. 方式；模式；风格；时尚
moist,英:/mɒɪst/ 美:/mɔɪst/,"1. adj. 潮湿的；多雨的；含泪的
2. n. 潮湿"
Monday,英:/ˈmʌndi/ 美:/ˈmʌndi/,n. 星期一
month,英:/mʌnθ/ 美:/mʌnθ/,n. 月，一个月的时间
mood,英:/muːd/ 美:/mud/,n. 心境；情绪，语气；气氛
moon,英:/muːn/ 美:/mun/,"1. n. 月亮；月球；月光；卫星
2. vi. 闲荡；出神"
more,英:/mɔː/ 美:/mɔr/,"1. adv. 更多；更大程度地；此外
2. adj. 更多的；附加的"
most,英:/məʊst/ 美:/most/,"1. adv. 最；最多；非常，极其；几乎
2. adj. 最多的；大部分的，多数的"
mould,英:/məʊld/ 美:/mold/,"1. vi. 发霉
2. vt. 浇铸；用泥土覆盖"
mount,英:/maʊnt/ 美:/maʊnt/,"1. vt. 爬上；增加；使骑上马
2. vi. 爬；上升"
mourn,英:/mɔːn/ 美:/mɔrn/,v. 哀悼；服丧；忧伤
mouse,英:/maʊs/ 美:/maʊs/,"1. n. 鼠标；老鼠；胆小羞怯的人
2. vt. 探出"
mouth,英:/maʊθ/ 美:/maʊθ/,"1. n. 口，嘴；河口
2. vt. 做作地说，装腔作势地说；喃喃地说出"
move,英:/muːv/ 美:/muv/,"1. n. 迁居；步骤；移动
2. vi. 移动；搬家，迁移；离开"
much,英:/mʌtʃ/ 美:/mʌtʃ/,"1. adv. 非常，很
2. adj. 大量的"
mud,英:/mʌd/ 美:/mʌd/,"1. vt. 弄脏；用泥涂
2. vi. 钻入泥中"
mug,英:/mʌg/ 美:/mʌɡ/,"1. n. 脸；杯子；苦读者
2. vi. 扮鬼脸，做怪相；行凶抢劫"
must,英:/mʌst/ 美:/məst/,"1. aux. 必须，一定；很可能；可以，应当
2. n. 绝对必要的事物；未发酵葡萄汁"
mute,英:/mjuːt/ 美:/mjut/,"1. adj. 哑的；沉默的；无声的
2. vt. 减弱……的声音；使……柔和"
my,英:/maɪ/ 美:/maɪ/,"1. pron. 我的
2. int. 哎呀（表示惊奇等）；喔唷"
nail,英:/neɪl/ 美:/nel/,"1. vt. 钉；揭露；使固定
2. n. 指甲；钉子"
name,英:/neɪm/ 美:/nem/,名称
nap,英:/næp/ 美:/næp/,"1. n. 小睡，打盹儿；细毛；孤注一掷
2. vt. 使拉毛"
near,英:/nɪə/ 美:/nɪr/,"1. adj. 近的；近似的；亲近的
2. adv. 接近；近"
neat,英:/niːt/ 美:/nit/,adj. 整洁的；未搀水的；优雅的；灵巧的；齐整的；平滑的
neck,英:/nek/ 美:/nɛk/,"1. n. 脖子；衣领；海峡
2. vi. [口]搂著脖子亲吻；变狭窄"
need,英:/niːd/ 美:/nid/,"1. n. 需要，要求；必要之物；缺乏
2. vt. 需要"
nerve,英:/nɜːv/ 美:/nɝv/,"1. n. 神经；勇气；[植]叶脉
2. vt. 鼓起勇气"
nest,英:/nest/ 美:/nɛst/,"1. n. 巢，窝；安乐窝；温床
2. vt. 筑巢；嵌套"
net,英:/net/ 美:/nɛt/,"1. n. 网；净利；网络；实价
2. vi. 编网"
new,英:/njuː/ 美:/nu/,"1. adj. 新的，新鲜的；更新的；初见的
2. adv. 新近"
news,英:/njuːz/ 美:/nuz/,n. 新闻，消息；新闻报导
next,英:/nekst/ 美:/nɛkst/,"1. adv. 其次；然后；下次
2. adj. 贴近的；下一个的；其次的"
nice,英:/naɪs/ 美:/naɪs/,adj. 精密的，美好的，细微的，和蔼的
niece,英:/niːs/ 美:/nis/,n. 外甥女，侄女
night,英:/naɪt/ 美:/naɪt/,"1. n. 夜晚，晚上；黑暗，黑夜
2. adj. 夜晚的，夜间的"
nine,英:/naɪn/ 美:/naɪn/,"1. n. 九，九个
2. num. 九个；九"
no,英:/nəʊ/ 美:/no/,"1. adv. 不
2. adj. 没有；不是"
nod,英:/nɒd/ 美:/nɑd/,"1. n. 点头；打盹；摆动
2. vt. 点头；点头表示"
noise,英:/nɒɪz/ 美:/nɔɪz/,"1. n. 响声；杂音；噪音
2. vt. 谣传"
none,英:/nʌn/ 美:/nʌn/,"1. pron. 没有人；没有任何东西；一个也没有
2. adj. 没有的，一点没有的"
noon,英:/nuːn/ 美:/nun/,n. 中午；正午；全盛期
nor,英:/nɔː/ 美:/nɔr/,"1. conj. 也不；也不是
2. adv. 也不；也没有"
north,英:/nɔːθ/ 美:/nɔrθ/,"1. n. 北，北方
2. adj. 北方的；朝北的"
nose,英:/nəʊz/ 美:/noz/,"1. n. 鼻子；嗅觉；突出的部分；探问
2. vt. 用鼻子触；嗅"
not,英:/nɔt/ 美:/nɑt/,adv. 不（用于否定句）
note,英:/nəʊt/ 美:/not/,"1. n. 笔记；注解；便笺；照会；音符；调子；票据；纸币
2. vt. 记录；注意；注解"
noun,英:/naʊn/ 美:/naʊn/,n. [语]名词
now,英:/naʊ/ 美:/naʊ/,"1. adv. 现在；立刻；如今
2. adj. 现在的"
nurse,英:/nɜːs/ 美:/nɝs/,"1. vt. 看护，护理；培养；照顾；给…喂奶
2. vi. 照料，护理；喂奶；当保姆"
nut,英:/nʌt/ 美:/nʌt/,"1. n. 坚果；螺母，螺帽；难对付的人，难解的问题
2. vi. 采坚果"
oak,英:/əʊk/ 美:/ok/,"1. n. [植]橡树；橡木家具；橡木色
2. adj. 栎树的；栎木制的"
oar,英:/ɔː/ 美:/ɔr/,"1. n. 桨；橹；桨手
2. vt. 划（船）"
odd,英:/ɒd/ 美:/ɑd/,"1. adj. 奇数的；古怪的；临时的；剩余的；零散的
2. n. 奇数；奇特的事物；怪人"
of,英:/ɒv/ 美:/əv/,prep. 属于；关于；…的；由…组成的
off,英:/ɒf/ 美:/ɔf/,"1. prep. 离开；脱落
2. adv. 走开；切断"
oh,英:/əʊ/ 美:/o/,int. 哦；哎呀（表示惊讶或恐惧等）
oil,英:/ɒɪl/ 美:/ɔɪl/,"1. n. 油；石油；油画颜料
2. vt. 涂油；加油；使融化"
old,英:/əʊld/ 美:/old/,"1. adj. 年老的；陈旧的，古老的
2. n. 古时"
on,英:/ɒn/ 美:/ɑn/,"1. adv. 向前地；继续着；作用中，行动中
2. prep. 在……之上；在……时候；关于；向，朝……"
once,英:/wʌns/ 美:/wʌns/,"1. adv. 一次；曾经
2. conj. 一旦"
one,英:/wʌn/ 美:/wʌn/,一
or,英:/ɔ:/ 美:/ɔr/,conj. 或，或者；还是
orange,英:/ˈɔrindʒ/ 美:/ˈɔrɪndʒ/,"1. adj. 橘色的；橙色的
2. n. 桔子；橙；橙色"
ore,英:/ɔː/ 美:/ɔr/,n. 矿石；矿
ought,英:/ɔːt/ 美:/ɔt/,"1. aux. 应该，应当；大概
2. vi. 应该，应当；大概"
ounce,英:/aʊns/ 美:/aʊns/,n. 盎司；少量；雪豹
our,英:/aʊə/ 美:/ɑr/,pron. 我们的
out,英:/aʊt/ 美:/aʊt/,"1. adv. 在外；出现；出声地；不流行地；出局
2. adj. 外面的；出局的；下台的"
outdoor,英:/ˈautdɔː(r)/ 美:/ˈaʊtˌdɔr/,adj. 户外的；露天的；野外的（等于out-of-door）
owe,英:/əʊ/ 美:/o/,"1. vt. 感激；欠；应给予；应该把……归功于
2. vi. 欠钱"
owl,英:/aʊl/ 美:/aʊl/,n. [动]猫头鹰；枭；惯于晚上活动的人
own,英:/əʊn/ 美:/on/,"1. vt. 拥有；承认
2. vi. 承认"
ox,英:/ɔks/ 美:/ɑks/,n. 牛；公牛
phase,英:/feɪz/ 美:/fez/,"1. n. 相；位相；阶段
2. vt. 使定相；逐步执行"
phone,英:/fəun/ 美:/fon/,"1. n. 电话；耳机，听筒
2. vt. 打电话"
phrase,英:/freɪz/ 美:/frez/,"1. n. 成语；习语；措词
2. vt. 用短语表达；用语言表达"
pick,英:/pɪk/ 美:/pɪk/,"1. vi. 挑选；采摘；挖
2. vt. 拾取；精选；采摘；掘"
pie,英:/paɪ/ 美:/paɪ/,"1. n. 馅饼；饼图；爱说话的人
2. vt. 使杂乱"
piece,英:/piːs/ 美:/pis/,"1. n. 件；篇；块；硬币
2. vt. 修补；接合；凑合"
pierce,英:/pɪəs/ 美:/pɪrs/,"1. vt. 刺穿；洞察；响彻；深深地打动
2. vi. 进入；透入"
pig,英:/pɪg/ 美:/pɪɡ/,"1. n. 猪肉；猪；警察
2. vi. 生小猪；像猪一样过活"
pile,英:/paɪl/ 美:/paɪl/,"1. n. 堆；大量；建筑群
2. vt. 累积；打桩于"
pill,英:/pɪl/ 美:/pɪl/,"1. n. 药丸；口服避孕药；弹丸，子弹
2. vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）"
pin,英:/pɪn/ 美:/pɪn/,针
pinch,英:/pɪn(t)ʃ/ 美:/pɪntʃ/,"1. vt. 捏；勒索；使苦恼；掐掉某物，修剪
2. n. 匮乏；少量；夹痛"
pine,英:/paɪn/ 美:/paɪn/,"1. vi. 憔悴；渴望，痛苦
2. n. 松树；凤梨，菠萝"
pink,英:/pɪŋk/ 美:/pɪŋk/,"1. n. 粉红色；石竹花；头面人物；化身，典范
2. vt. 使…变粉红色；使…面红耳赤；扎，刺，戳"
pint,英:/paɪnt/ 美:/paɪnt/,n. 品脱；一品脱的量；一品脱牛奶或啤酒
pipe,英:/paɪp/ 美:/paɪp/,"1. n. 烟斗；管；笛
2. vi. 尖叫；吹笛"
pit,英:/pɪt/ 美:/pɪt/,"1. n. 深坑；矿井；陷阱；（英国剧场的）正厅后排；（物体或人体表面上的）凹陷；正厅后排的观众
2. vt. 窖藏；使竞争；使凹下；去…之核；使留疤痕"
pitch,英:/pɪtʃ/ 美:/pɪtʃ/,"1. vi. 投掷；倾斜；坠落；搭帐篷
2. vt. 投；定位于；掷；用沥青涂；扎营；向前倾跌"
place,英:/pleɪs/ 美:/ples/,"1. n. 地方；住所；座位
2. vt. 放置；任命；寄予"
plain,英:/pleɪn/ 美:/plen/,"1. adj. 平的；朴素的；简单的；清晰的
2. n. 平原；[计]无格式；朴实无华的东西"
plan,英:/plæn/ 美:/plæn/,"1. n. 平面图；计划
2. vt. 计划；设计；打算"
plane,英:/pleɪn/ 美:/plen/,"1. n. 平面；飞机；程度，水平
2. vi. 刨；翱翔；乘飞机旅行"
plant,英:/plɑːnt/ 美:/plænt/,"1. n. 工厂，车间；植物；庄稼；设备
2. vt. 安置；种植；栽培；培养"
plate,英:/pleɪt/ 美:/plet/,"1. n. 金属板；碟；金属牌；感光底片
2. vt. 电镀；给…装甲"
please,英:/pliːz/ 美:/pliz/,"1. vt. 使高兴，使满意；使喜欢
2. vi. 令人高兴；讨人喜欢"
plot,英:/plɒt/ 美:/plɑt/,"1. n. 阴谋；情节；图
2. vt. 密谋；划分；标绘；绘图"
plough,英:/plaʊ/ 美:/plaʊ/,"1. vt. 耕；犁
2. vi. 用犁耕田；开路"
pluck,英:/plʌk/ 美:/plʌk/,"1. n. 勇气；内脏；快而猛的拉
2. vt. 摘；拔；扯"
plug,英:/plʌg/ 美:/plʌɡ/,"1. n. 栓；插头；塞子
2. vi. 塞住；用插头将与电源接通"
plunge,英:/plʌn(d)ʒ/ 美:/plʌndʒ/,"1. n. 投入；跳进
2. vi. 投入；跳进；陷入"
plus,英:/plʌs/ 美:/plʌs/,"1. n. 正号，加号；附加额；好处
2. adj. 正的；附加的"
P.M.,英:/ˈpi:ˈem/ 美:/ˈpiˈ ɛm/,abbr. =post meridiem 下午;午后; =Past Master 离任会长;技艺经验...
point,英:/pɒɪnt/ 美:/pɔɪnt/,"1. n. 要点；尖端；得分；标点
2. vt. 指向；弄尖；加标点于"
pole,英:/pəʊl/ 美:/pol/,"1. n. 杆；极点；电极
2. vt. 用竿支撑"
polish,英:/ˈpəʊlɪʃ/ 美:/ˈpolɪʃ/,"1. n. 磨光，擦亮；上光剂，擦亮剂；优雅，精良
2. vi. 擦亮，变光滑"
pond,英:/pɒnd/ 美:/pɑnd/,"1. vt. 筑成池塘
2. vi. 筑成池塘"
pool,英:/puːl/ 美:/pul/,"1. n. 联营；水塘；撞球；共同资金
2. vi. 联营，合伙经营"
poor,英:/pɔː/ 美:/pɔr/,adj. 可怜的；贫穷的；贫乏的；卑鄙的
pop,英:/pɒp/ 美:/pɑp/,"1. n. 砰然声；[口]汽水；枪击；流行音乐
2. vi. 突然出现；瞪大；射击；发出爆裂声；爆开"
porch,英:/pɔːtʃ/ 美:/pɔrtʃ/,n. 门廊；走廊
pork,英:/pɔːk/ 美:/pɔrk/,"1. n. 猪肉
2. vt. 与女子性交"
port,英:/pɔːt/ 美:/pɔrt/,"1. n. 港口，口岸；左舷；舱门；（计算机的）端口
2. vi. 转向左舷"
Portuguese,英:/ˌpɔ:tʃəˈgi:z/ 美:/ˌpɔrtʃəˈɡiz/,葡萄牙
post,英:/pəʊst/ 美:/post/,"1. n. 岗位；邮件；标杆
2. vt. 布置；邮递；公布；张贴"
pot,英:/pɒt/ 美:/pɑt/,"1. n. 罐；壶；盆
2. vt. 把…装罐；射击；节略"
pound,英:/paʊnd/ 美:/paʊnd/,"1. n. 英镑；兽栏；重击，重击声；拘留所
2. vt. 捣烂；敲打；监禁，拘留"
pour,英:/pɔː/ 美:/pɔr/,"1. n. 倾泻；流出；骤雨
2. vt. 倒；灌，注；倾吐；倾泻"
praise,英:/preɪz/ 美:/prez/,"1. n. 称赞；赞扬；崇拜；荣耀
2. vt. 赞美，歌颂；表扬"
pray,英:/preɪ/ 美:/pre/,"1. vt. 祈祷；恳求；央求
2. vi. 祈祷；恳求；请"
prayer,英:/preə/ 美:/prɛr/,n. 恳求；祈祷，祷告；祈祷文
